Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
12,3,Y,N,F,4,2,67.953,67.986,66.073,66.079,67.9695,66.076,0.3787
12,4,Y,N,M,1,1,67.667,67.674,66.518,66.497,67.6705,66.5075,0.2326
12,4,Y,N,M,1,2,80.05,80.055,78.845,78.21,80.0525,78.5275,0.305
12,4,Y,N,M,2,1,69.33,69.263,68.203,68.23,69.2965,68.2165,0.216
12,4,Y,N,M,2,2,74.543,74.54,73.332,73.346,74.5415,73.339,0.2405
12,4,Y,N,M,3,1,65.389,65.407,64.463,64.471,65.398,64.467,0.23275
12,4,Y,N,M,3,2,72.688,72.627,71.557,71.566,72.6575,71.5615,0.2192
12,4,Y,N,M,4,1,72.877,72.884,71.631,71.654,72.8805,71.6425,0.2476
12,4,Y,N,M,4,2,72.745,72.776,71.634,71.639,72.7605,71.6365,0.2248
12,5,N,Y,F,1,1,77.475,77.465,75.81,75.799,77.47,75.8045,0.3331
12,5,N,Y,M,1,2,64.242,64.233,63.495,63.492,64.2375,63.4935,0.186
12,5,N,Y,F,2,1,56.8,56.799,55.201,55.173,56.7995,55.187,0.3225
12,5,N,Y,M,2,2,55.371,55.371,54.525,54.527,55.371,54.526,0.169
12,5,N,Y,F,3,1,63.344,63.298,61.971,61.943,63.321,61.957,0.2728
12,5,N,Y,M,3,2,45.53,45.508,44.902,44.902,45.519,44.902,0.15425
12,5,N,Y,F,4,1,79.967,79.972,78.196,78.25,79.9695,78.223,0.3493
12,5,N,Y,M,4,2,66.845,66.847,65.921,65.877,66.846,65.899,0.1894
12,6,N,Y,F,1,1,69.403,69.397,67.728,67.725,69.4,67.7265,0.3347
12,6,N,Y,M,1,2,50.297,50.315,49.464,49.477,50.306,49.4705,0.1671
12,6,N,Y,F,2,1,57.873,57.853,56.421,56.38,57.863,56.4005,0.2925
12,6,N,Y,M,2,2,56.181,56.144,55.205,55.202,56.1625,55.2035,0.1918
